,Date-Time,Temperature   (°C)
0,2025-02-09 10:36:03,20.29
1,2025-02-09 10:38:03,20.29
2,2025-02-09 10:40:03,20.29
3,2025-02-09 10:42:03,20.29
4,2025-02-09 10:44:03,20.29
5,2025-02-09 10:46:03,20.29
6,2025-02-09 10:48:03,20.29
7,2025-02-09 10:50:03,20.29
8,2025-02-09 10:52:03,20.29
9,2025-02-09 10:54:03,20.29
10,2025-02-09 10:56:03,20.29
11,2025-02-09 10:58:03,20.29
12,2025-02-09 11:00:03,20.29
13,2025-02-09 11:02:03,20.29
14,2025-02-09 11:04:03,20.29
15,2025-02-09 11:06:03,20.29
16,2025-02-09 11:08:03,20.29
17,2025-02-09 11:10:03,20.29
18,2025-02-09 11:12:03,20.29
19,2025-02-09 11:14:03,20.29
20,2025-02-09 11:16:03,20.29
21,2025-02-09 11:18:03,20.29
22,2025-02-09 11:20:03,20.29
23,2025-02-09 11:22:03,20.29
24,2025-02-09 11:24:03,20.29
25,2025-02-09 11:26:03,20.29
26,2025-02-09 11:28:03,20.29
27,2025-02-09 11:30:03,20.29
28,2025-02-09 11:32:03,20.29
29,2025-02-09 11:34:03,17.89
30,2025-02-09 11:36:03,16.08
31,2025-02-09 11:38:03,14.93
32,2025-02-09 11:40:03,14.15
33,2025-02-09 11:42:03,13.6
34,2025-02-09 11:44:03,13.12
35,2025-02-09 11:46:03,12.74
36,2025-02-09 11:48:03,12.48
37,2025-02-09 11:50:03,12.35
38,2025-02-09 11:52:03,12.14
39,2025-02-09 11:54:03,12.01
40,2025-02-09 11:56:03,11.97
41,2025-02-09 11:58:03,11.84
42,2025-02-09 12:00:03,11.79
43,2025-02-09 12:02:03,11.71
44,2025-02-09 12:04:03,11.71
45,2025-02-09 12:06:03,11.71
46,2025-02-09 12:08:03,11.67
47,2025-02-09 12:10:03,11.62
48,2025-02-09 12:12:03,11.58
49,2025-02-09 12:14:03,11.58
50,2025-02-09 12:16:03,11.54
51,2025-02-09 12:18:03,11.58
52,2025-02-09 12:20:03,11.49
53,2025-02-09 12:22:03,11.54
54,2025-02-09 12:24:03,11.49
55,2025-02-09 12:26:03,11.49
56,2025-02-09 12:28:03,11.54
57,2025-02-09 12:30:03,11.54
58,2025-02-09 12:32:03,11.49
59,2025-02-09 12:34:03,11.49
60,2025-02-09 12:36:03,11.49
61,2025-02-09 12:38:03,11.49
62,2025-02-09 12:40:03,11.49
63,2025-02-09 12:42:03,11.49
64,2025-02-09 12:44:03,11.58
65,2025-02-09 12:46:03,11.54
66,2025-02-09 12:48:03,11.49
67,2025-02-09 12:50:03,11.49
68,2025-02-09 12:52:03,11.54
69,2025-02-09 12:54:03,11.49
70,2025-02-09 12:56:03,11.49
71,2025-02-09 12:58:03,11.54
72,2025-02-09 13:00:03,11.54
73,2025-02-09 13:02:03,11.49
74,2025-02-09 13:04:03,11.49
75,2025-02-09 13:06:03,11.49
76,2025-02-09 13:08:03,11.49
77,2025-02-09 13:10:03,11.49
78,2025-02-09 13:12:03,11.54
79,2025-02-09 13:14:03,11.49
80,2025-02-09 13:16:03,11.54
81,2025-02-09 13:18:03,11.49
82,2025-02-09 13:20:03,11.54
83,2025-02-09 13:22:03,11.49
84,2025-02-09 13:24:03,11.54
85,2025-02-09 13:26:03,11.54
86,2025-02-09 13:28:03,11.54
87,2025-02-09 13:30:03,11.58
88,2025-02-09 13:32:03,11.54
89,2025-02-09 13:34:03,11.54
90,2025-02-09 13:36:03,11.49
91,2025-02-09 13:38:03,11.58
92,2025-02-09 13:40:03,11.58
93,2025-02-09 13:42:03,11.54
94,2025-02-09 13:44:03,11.54
95,2025-02-09 13:46:03,11.49
96,2025-02-09 13:48:03,11.54
97,2025-02-09 13:50:03,11.54
98,2025-02-09 13:52:03,11.54
99,2025-02-09 13:54:03,11.54
100,2025-02-09 13:56:03,11.54
101,2025-02-09 13:58:03,11.54
102,2025-02-09 14:00:03,11.54
103,2025-02-09 14:02:03,11.54
104,2025-02-09 14:04:03,11.54
105,2025-02-09 14:06:03,11.54
106,2025-02-09 14:08:03,11.58
107,2025-02-09 14:10:03,11.54
108,2025-02-09 14:12:03,11.62
109,2025-02-09 14:14:03,11.54
110,2025-02-09 14:16:03,11.54
111,2025-02-09 14:18:03,11.54
112,2025-02-09 14:20:03,11.49
113,2025-02-09 14:22:03,11.54
114,2025-02-09 14:24:03,11.54
115,2025-02-09 14:26:03,11.54
116,2025-02-09 14:28:03,11.54
117,2025-02-09 14:30:03,11.54
118,2025-02-09 14:32:03,11.54
119,2025-02-09 14:34:03,11.54
120,2025-02-09 14:36:03,11.54
121,2025-02-09 14:38:03,11.54
122,2025-02-09 14:40:03,11.58
123,2025-02-09 14:42:03,11.54
124,2025-02-09 14:44:03,11.54
125,2025-02-09 14:46:03,11.58
126,2025-02-09 14:48:03,11.54
127,2025-02-09 14:50:03,11.58
128,2025-02-09 14:52:03,11.58
129,2025-02-09 14:54:03,11.58
130,2025-02-09 14:56:03,11.58
131,2025-02-09 14:58:03,11.58
132,2025-02-09 15:00:03,11.54
133,2025-02-09 15:02:03,11.54
134,2025-02-09 15:04:03,11.49
135,2025-02-09 15:06:03,11.54
136,2025-02-09 15:08:03,11.58
137,2025-02-09 15:10:03,11.62
138,2025-02-09 15:12:03,11.54
139,2025-02-09 15:14:03,11.54
140,2025-02-09 15:16:03,11.54
141,2025-02-09 15:18:03,11.58
142,2025-02-09 15:20:03,11.54
143,2025-02-09 15:22:03,11.62
144,2025-02-09 15:24:03,11.58
145,2025-02-09 15:26:03,11.58
146,2025-02-09 15:28:03,11.54
147,2025-02-09 15:30:03,11.58
148,2025-02-09 15:32:03,11.58
149,2025-02-09 15:34:03,11.54
150,2025-02-09 15:36:03,11.54
151,2025-02-09 15:38:03,11.58
152,2025-02-09 15:40:03,11.54
153,2025-02-09 15:42:03,11.58
154,2025-02-09 15:44:03,11.54
155,2025-02-09 15:46:03,11.54
156,2025-02-09 15:48:03,11.58
157,2025-02-09 15:50:03,11.54
158,2025-02-09 15:52:03,11.54
159,2025-02-09 15:54:03,11.54
160,2025-02-09 15:56:03,11.54
161,2025-02-09 15:58:03,11.54
162,2025-02-09 16:00:03,11.58
163,2025-02-09 16:02:03,11.54
164,2025-02-09 16:04:03,11.54
165,2025-02-09 16:06:03,11.58
166,2025-02-09 16:08:03,11.54
167,2025-02-09 16:10:03,11.54
168,2025-02-09 16:12:03,11.58
169,2025-02-09 16:14:03,11.49
170,2025-02-09 16:16:03,11.54
171,2025-02-09 16:18:03,11.54
172,2025-02-09 16:20:03,11.54
173,2025-02-09 16:22:03,11.54
174,2025-02-09 16:24:03,11.54
175,2025-02-09 16:26:03,11.54
176,2025-02-09 16:28:03,11.54
177,2025-02-09 16:30:03,11.54
178,2025-02-09 16:32:03,11.54
179,2025-02-09 16:34:03,11.54
180,2025-02-09 16:36:03,11.54
181,2025-02-09 16:38:03,11.54
182,2025-02-09 16:40:03,11.54
183,2025-02-09 16:42:03,11.49
184,2025-02-09 16:44:03,11.54
185,2025-02-09 16:46:03,11.54
186,2025-02-09 16:48:03,11.58
187,2025-02-09 16:50:03,11.49
188,2025-02-09 16:52:03,11.49
189,2025-02-09 16:54:03,11.49
190,2025-02-09 16:56:03,11.49
191,2025-02-09 16:58:03,11.54
192,2025-02-09 17:00:03,11.49
193,2025-02-09 17:02:03,11.58
194,2025-02-09 17:04:03,11.49
195,2025-02-09 17:06:03,11.49
