,Date-Time,Temperature   (°C)
0,2025-02-09 10:36:03,15.06
1,2025-02-09 10:38:03,13.81
2,2025-02-09 10:40:03,12.44
3,2025-02-09 10:42:03,11.75
4,2025-02-09 10:44:03,11.28
5,2025-02-09 10:46:03,10.98
6,2025-02-09 10:48:03,10.77
7,2025-02-09 10:50:03,10.64
8,2025-02-09 10:52:03,10.51
9,2025-02-09 10:54:03,10.38
10,2025-02-09 10:56:03,10.29
11,2025-02-09 10:58:03,10.25
12,2025-02-09 11:00:03,10.21
13,2025-02-09 11:02:03,10.16
14,2025-02-09 11:04:03,10.12
15,2025-02-09 11:06:03,10.12
16,2025-02-09 11:08:03,10.04
17,2025-02-09 11:10:03,10.04
18,2025-02-09 11:12:03,10.04
19,2025-02-09 11:14:03,9.99
20,2025-02-09 11:16:03,10.08
21,2025-02-09 11:18:03,10.04
22,2025-02-09 11:20:03,10.04
23,2025-02-09 11:22:03,9.99
24,2025-02-09 11:24:03,9.99
25,2025-02-09 11:26:03,10.04
26,2025-02-09 11:28:03,9.99
27,2025-02-09 11:30:03,9.95
28,2025-02-09 11:32:03,9.95
29,2025-02-09 11:34:03,9.99
30,2025-02-09 11:36:03,10.04
31,2025-02-09 11:38:03,9.99
32,2025-02-09 11:40:03,9.95
33,2025-02-09 11:42:03,9.99
34,2025-02-09 11:44:03,9.95
35,2025-02-09 11:46:03,9.99
36,2025-02-09 11:48:03,9.95
37,2025-02-09 11:50:03,9.95
38,2025-02-09 11:52:03,9.95
39,2025-02-09 11:54:03,9.99
40,2025-02-09 11:56:03,9.99
41,2025-02-09 11:58:03,9.99
42,2025-02-09 12:00:03,9.95
43,2025-02-09 12:02:03,9.99
44,2025-02-09 12:04:03,9.99
45,2025-02-09 12:06:03,9.99
46,2025-02-09 12:08:03,9.99
47,2025-02-09 12:10:03,9.95
48,2025-02-09 12:12:03,10.04
49,2025-02-09 12:14:03,9.95
50,2025-02-09 12:16:03,9.95
51,2025-02-09 12:18:03,9.99
52,2025-02-09 12:20:03,9.99
53,2025-02-09 12:22:03,9.91
54,2025-02-09 12:24:03,10.04
55,2025-02-09 12:26:03,9.99
56,2025-02-09 12:28:03,9.99
57,2025-02-09 12:30:03,9.99
58,2025-02-09 12:32:03,9.99
59,2025-02-09 12:34:03,9.99
60,2025-02-09 12:36:03,9.99
61,2025-02-09 12:38:03,9.95
62,2025-02-09 12:40:03,9.95
63,2025-02-09 12:42:03,9.95
64,2025-02-09 12:44:03,9.99
65,2025-02-09 12:46:03,9.95
66,2025-02-09 12:48:03,9.95
67,2025-02-09 12:50:03,9.95
68,2025-02-09 12:52:03,9.95
69,2025-02-09 12:54:03,9.91
70,2025-02-09 12:56:03,9.99
71,2025-02-09 12:58:03,9.99
72,2025-02-09 13:00:03,10.04
73,2025-02-09 13:02:03,9.95
74,2025-02-09 13:04:03,9.95
75,2025-02-09 13:06:03,9.91
76,2025-02-09 13:08:03,9.99
77,2025-02-09 13:10:03,9.99
78,2025-02-09 13:12:03,9.95
79,2025-02-09 13:14:03,10.04
80,2025-02-09 13:16:03,9.95
81,2025-02-09 13:18:03,9.95
82,2025-02-09 13:20:03,9.99
83,2025-02-09 13:22:03,9.95
84,2025-02-09 13:24:03,9.99
85,2025-02-09 13:26:03,9.95
86,2025-02-09 13:28:03,9.95
87,2025-02-09 13:30:03,9.95
88,2025-02-09 13:32:03,9.99
89,2025-02-09 13:34:03,9.95
90,2025-02-09 13:36:03,9.99
91,2025-02-09 13:38:03,9.99
92,2025-02-09 13:40:03,9.95
93,2025-02-09 13:42:03,9.99
94,2025-02-09 13:44:03,9.99
95,2025-02-09 13:46:03,9.99
96,2025-02-09 13:48:03,9.95
97,2025-02-09 13:50:03,9.95
98,2025-02-09 13:52:03,9.95
99,2025-02-09 13:54:03,9.99
100,2025-02-09 13:56:03,9.99
101,2025-02-09 13:58:03,9.95
102,2025-02-09 14:00:03,9.91
103,2025-02-09 14:02:03,9.95
104,2025-02-09 14:04:03,9.99
105,2025-02-09 14:06:03,9.91
106,2025-02-09 14:08:03,9.99
107,2025-02-09 14:10:03,9.95
108,2025-02-09 14:12:03,9.99
109,2025-02-09 14:14:03,10.04
110,2025-02-09 14:16:03,9.99
111,2025-02-09 14:18:03,9.99
112,2025-02-09 14:20:03,9.91
113,2025-02-09 14:22:03,9.95
114,2025-02-09 14:24:03,9.95
115,2025-02-09 14:26:03,9.99
116,2025-02-09 14:28:03,9.99
117,2025-02-09 14:30:03,9.95
118,2025-02-09 14:32:03,9.95
119,2025-02-09 14:34:03,9.99
120,2025-02-09 14:36:03,9.99
121,2025-02-09 14:38:03,9.91
